FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
코드이스케이프 가로수길점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,신사동,,541-15 번지,가로수길,14,37.51883009,127.0234141,6036,서울특별시 강남구 가로수길 14,서울특별시 강남구 신사동 541-15,025417544,http://www.code-escape-garosu.com/,Y,N,Y,N,20221104
코드이스케이프 가로수길점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,신사동,,541-15 번지,가로수길,14,37.51883009,127.0234141,6036,서울특별시 강남구 가로수길 14,서울특별시 강남구 신사동 541-15,025417544,http://www.code-escape-garosu.com/,N,N,N,N,20221104
라인볼링센터 강남점,레저/체육/공원,지역체육시설,볼링장,서울특별시,강남구,역삼동,,837-36 번지,강남대로,308,37.49067116,127.0318198,6253,서울특별시 강남구 강남대로 308,서울특별시 강남구 역삼동 837-36 랜드마크타워,025554199,,Y,N,Y,N,20221104
라인볼링센터 강남점,레저/체육/공원,지역체육시설,볼링장,서울특별시,강남구,역삼동,,837-36 번지,강남대로,308,37.49067116,127.0318198,6253,서울특별시 강남구 강남대로 308,서울특별시 강남구 역삼동 837-36 랜드마크타워,025554199,,N,N,N,N,20221104
세븐클루스 강남2호점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,815 번지,강남대로,432,37.50123504,127.0266306,6129,서울특별시 강남구 강남대로 432,서울특별시 강남구 역삼동 815 점프밀라노,,http://www.sevenclues.com,Y,N,Y,N,20221104
세븐클루스 강남2호점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,815 번지,강남대로,432,37.50123504,127.0266306,6129,서울특별시 강남구 강남대로 432,서울특별시 강남구 역삼동 815 점프밀라노,,http://www.sevenclues.com,N,N,Y,N,20221104
더클루 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,814-1 번지,강남대로,446,37.5023892,127.0259471,6123,서울특별시 강남구 강남대로 446,서울특별시 강남구 역삼동 814-1 한웰빌딩,025664602,http://www.theclue.co.kr,Y,N,Y,N,20221104
더클루 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,814-1 번지,강남대로,446,37.5023892,127.0259471,6123,서울특별시 강남구 강남대로 446,서울특별시 강남구 역삼동 814-1 한웰빌딩,025664602,http://www.theclue.co.kr,N,N,N,N,20221104
클라이밍파크,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,역삼동,,808-5 번지,강남대로,468,37.50415507,127.0251449,6123,서울특별시 강남구 강남대로 468,서울특별시 강남구 역삼동 808-5 충림빌딩,025554662,http://blog.naver.com/climbingpark,Y,N,Y,N,20221104
클라이밍파크,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,역삼동,,808-5 번지,강남대로,468,37.50415507,127.0251449,6123,서울특별시 강남구 강남대로 468,서울특별시 강남구 역삼동 808-5 충림빌딩,025554662,http://blog.naver.com/climbingpark,N,N,N,N,20221104
테니스핏 강남점,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,논현동,,18-4 번지,강남대로,584,37.51393537,127.0206205,6043,서울특별시 강남구 강남대로 584,서울특별시 강남구 논현동 18-4 성일빌딩,025140788,http://www.tennisfit.co.kr,N,N,Y,Y,20221104
테니스핏 강남점,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,논현동,,18-4 번지,강남대로,584,37.51393537,127.0206205,6043,서울특별시 강남구 강남대로 584,서울특별시 강남구 논현동 18-4 성일빌딩,025140788,http://www.tennisfit.co.kr,N,N,N,N,20221104
한강시민공원 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,강남구,압구정동,,386-1 번지,강남대로,708,37.52444026,127.0159328,6000,서울특별시 강남구 강남대로 708,서울특별시 강남구 압구정동 386-1 한남대교레인보우카폐,,,N,Y,Y,Y,20221104
한강시민공원 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,강남구,압구정동,,386-1 번지,강남대로,708,37.52444026,127.0159328,6000,서울특별시 강남구 강남대로 708,서울특별시 강남구 압구정동 386-1 한남대교레인보우카폐,,,N,N,N,N,20221104
퍼즐팩토리 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,813-13 번지,강남대로102길,13,37.50204139,127.0268531,6123,서울특별시 강남구 강남대로102길 13,서울특별시 강남구 역삼동 813-13,,http://www.puzzlefactory.co.kr/,Y,N,N,N,20221104
퍼즐팩토리 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,813-13 번지,강남대로102길,13,37.50204139,127.0268531,6123,서울특별시 강남구 강남대로102길 13,서울특별시 강남구 역삼동 813-13,,http://www.puzzlefactory.co.kr/,Y,N,N,N,20221104
포인트나인,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,618-3 번지,강남대로102길,40,37.50344246,127.0283567,6128,서울특별시 강남구 강남대로102길 40,서울특별시 강남구 역삼동 618-3,025569998,http://point-nine.com,N,N,N,N,20221104
포인트나인,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,618-3 번지,강남대로102길,40,37.50344246,127.0283567,6128,서울특별시 강남구 강남대로102길 40,서울특별시 강남구 역삼동 618-3,025569998,http://point-nine.com,N,N,N,N,20221104
락트리 강남,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,논현동,,183 번지,강남대로118길,12,37.50631189,127.0247573,6120,서울특별시 강남구 강남대로118길 12,서울특별시 강남구 논현동 183 부경빌딩,07078028889,https://rocktree.modoo.at/,Y,N,Y,N,20221104
락트리 강남,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,논현동,,183 번지,강남대로118길,12,37.50631189,127.0247573,6120,서울특별시 강남구 강남대로118길 12,서울특별시 강남구 논현동 183 부경빌딩,07078028889,https://rocktree.modoo.at/,N,N,N,N,20221104
못된VR 논현점,레저/체육/공원,액티비티,VR,서울특별시,강남구,논현동,,182-27 번지,강남대로118길,15,37.50678475,127.0247075,6119,서울특별시 강남구 강남대로118길 15,서울특별시 강남구 논현동 182-27,,http://못된vr.com,Y,N,Y,N,20221104
못된VR 논현점,레저/체육/공원,액티비티,VR,서울특별시,강남구,논현동,,182-27 번지,강남대로118길,15,37.50678475,127.0247075,6119,서울특별시 강남구 강남대로118길 15,서울특별시 강남구 논현동 182-27,,http://못된vr.com,N,N,N,N,20221104
코인테니스,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,논현동,,143-16 번지,강남대로124길,3-6,37.50907553,127.0230468,6114,서울특별시 강남구 강남대로124길 3-6,서울특별시 강남구 논현동 143-16 호은빌딩,,,N,N,Y,Y,20221104
코인테니스,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,논현동,,143-16 번지,강남대로124길,3-6,37.50907553,127.0230468,6114,서울특별시 강남구 강남대로124길 3-6,서울특별시 강남구 논현동 143-16 호은빌딩,,,N,N,N,N,20221104
오투리조트,레저/체육/공원,대형레저시설,스키장,서울특별시,강남구,신사동,,513-2 번지,강남대로152길,14,37.51715067,127.0206993,6035,서울특별시 강남구 강남대로152길 14,서울특별시 강남구 신사동 513-2,025414564,,Y,N,Y,Y,20221104
오투리조트,레저/체육/공원,대형레저시설,스키장,서울특별시,강남구,신사동,,513-2 번지,강남대로152길,14,37.51715067,127.0206993,6035,서울특별시 강남구 강남대로152길 14,서울특별시 강남구 신사동 513-2,025414564,,N,N,N,N,20221104
시그널헌터 가로수길점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,신사동,,537 번지,강남대로152길,40,37.51798566,127.0225366,6035,서울특별시 강남구 강남대로152길 40,서울특별시 강남구 신사동 537 석천빌딩,025176027,http://www.signalhunter.co.kr/,Y,N,Y,N,20221104
시그널헌터 가로수길점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,신사동,,537 번지,강남대로152길,40,37.51798566,127.0225366,6035,서울특별시 강남구 강남대로152길 40,서울특별시 강남구 신사동 537 석천빌딩,025176027,http://www.signalhunter.co.kr/,Y,N,Y,N,20221104
마스콜VR존,레저/체육/공원,액티비티,VR,서울특별시,강남구,신사동,,511-6 번지,강남대로156길,18,37.51815755,127.0206794,6035,서울특별시 강남구 강남대로156길 18,서울특별시 강남구 신사동 511-6,07076088500,,Y,N,Y,N,20221104
마스콜VR존,레저/체육/공원,액티비티,VR,서울특별시,강남구,신사동,,511-6 번지,강남대로156길,18,37.51815755,127.0206794,6035,서울특별시 강남구 강남대로156길 18,서울특별시 강남구 신사동 511-6,07076088500,,N,N,Y,N,20221104
맥스골프 강남점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,신사동,,511-9 번지,강남대로156길,24,37.51838119,127.0210951,6035,서울특별시 강남구 강남대로156길 24,서울특별시 강남구 신사동 511-9,025166871,,Y,N,Y,Y,20221104
맥스골프 강남점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,신사동,,511-9 번지,강남대로156길,24,37.51838119,127.0210951,6035,서울특별시 강남구 강남대로156길 24,서울특별시 강남구 신사동 511-9,025166871,,N,N,N,N,20221104
골프존투어,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,역삼동,,836-24 번지,강남대로62길,23,37.49085561,127.0334289,6254,서울특별시 강남구 강남대로62길 23,서울특별시 강남구 역삼동 836-24,025018886,,Y,N,Y,Y,20221104
골프존투어,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,역삼동,,836-24 번지,강남대로62길,23,37.49085561,127.0334289,6254,서울특별시 강남구 강남대로62길 23,서울특별시 강남구 역삼동 836-24,025018886,,N,N,Y,N,20221104
비트포비아 강남던전점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,824-25 번지,강남대로84길,33,37.49754613,127.0310934,6233,서울특별시 강남구 강남대로84길 33,서울특별시 강남구 역삼동 824-25 대우디오빌플러스,025554360,http://www.xphobia.net,Y,N,Y,N,20221104
비트포비아 강남던전점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,824-25 번지,강남대로84길,33,37.49754613,127.0310934,6233,서울특별시 강남구 강남대로84길 33,서울특별시 강남구 역삼동 824-25 대우디오빌플러스,025554360,http://www.xphobia.net,N,N,N,N,20221104
테이블그라운드 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,819 번지,강남대로94길,10,37.49919632,127.0282272,6134,서울특별시 강남구 강남대로94길 10,서울특별시 강남구 역삼동 819,025579061,https://www.instagram.com/table_ground/,Y,N,Y,N,20221104
테이블그라운드 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,819 번지,강남대로94길,10,37.49919632,127.0282272,6134,서울특별시 강남구 강남대로94길 10,서울특별시 강남구 역삼동 819,025579061,https://www.instagram.com/table_ground/,Y,N,Y,N,20221104
겟미더머니,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,818-13 번지,강남대로94길,11,37.49954924,127.0282484,6129,서울특별시 강남구 강남대로94길 11,서울특별시 강남구 역삼동 818-13 제이빌딩,025683026,http://getmethemoney.net,Y,N,Y,N,20221104
겟미더머니,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,818-13 번지,강남대로94길,11,37.49954924,127.0282484,6129,서울특별시 강남구 강남대로94길 11,서울특별시 강남구 역삼동 818-13 제이빌딩,025683026,http://getmethemoney.net,N,N,N,N,20221104
더메이즈VR 강남점,레저/체육/공원,액티비티,VR,서울특별시,강남구,역삼동,,818-12 번지,강남대로94길,13,37.49958443,127.0284196,6129,서울특별시 강남구 강남대로94길 13,서울특별시 강남구 역삼동 818-12,025618882,http://www.facebook.com/themazevrgn,Y,N,Y,N,20221104
더메이즈VR 강남점,레저/체육/공원,액티비티,VR,서울특별시,강남구,역삼동,,818-12 번지,강남대로94길,13,37.49958443,127.0284196,6129,서울특별시 강남구 강남대로94길 13,서울특별시 강남구 역삼동 818-12,025618882,http://www.facebook.com/themazevrgn,N,N,N,N,20221104
싸인이스케이프 강남시티점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,637-20 번지,강남대로94길,67,37.50083117,127.032541,6131,서울특별시 강남구 강남대로94길 67,서울특별시 강남구 역삼동 637-20 도연빌딩,025581008,http://www.signescape.com/,Y,N,Y,N,20221104
싸인이스케이프 강남시티점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,637-20 번지,강남대로94길,67,37.50083117,127.032541,6131,서울특별시 강남구 강남대로94길 67,서울특별시 강남구 역삼동 637-20 도연빌딩,025581008,http://www.signescape.com/,N,N,N,N,20221104
레드VR,레저/체육/공원,액티비티,VR,서울특별시,강남구,역삼동,,817-17 번지,강남대로96길,13,37.49996365,127.0281033,6129,서울특별시 강남구 강남대로96길 13,서울특별시 강남구 역삼동 817-17,,http://redvr.co.kr/,Y,N,Y,N,20221104
레드VR,레저/체육/공원,액티비티,VR,서울특별시,강남구,역삼동,,817-17 번지,강남대로96길,13,37.49996365,127.0281033,6129,서울특별시 강남구 강남대로96길 13,서울특별시 강남구 역삼동 817-17,,http://redvr.co.kr/,N,N,N,N,20221104
넥스트에디션 강남2호점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817-18 번지,강남대로96길,15,37.50008733,127.0282271,6129,서울특별시 강남구 강남대로96길 15,서울특별시 강남구 역삼동 817-18,025545584,https://www.nextedition.co.kr/,Y,N,Y,N,20221104
넥스트에디션 강남2호점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817-18 번지,강남대로96길,15,37.50008733,127.0282271,6129,서울특별시 강남구 강남대로96길 15,서울특별시 강남구 역삼동 817-18,025545584,https://www.nextedition.co.kr/,N,N,N,N,20221104
키이스케이프 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817-21 번지,강남대로96길,17,37.50013558,127.0283897,6129,서울특별시 강남구 강남대로96길 17,서울특별시 강남구 역삼동 817-21,,http://keyescape.co.kr,Y,N,Y,N,20221104
키이스케이프 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817-21 번지,강남대로96길,17,37.50013558,127.0283897,6129,서울특별시 강남구 강남대로96길 17,서울특별시 강남구 역삼동 817-21,,http://keyescape.co.kr,N,N,N,N,20221104
이스케이프랩,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,818-4 번지,강남대로96길,18,37.49986833,127.0284685,6129,서울특별시 강남구 강남대로96길 18,서울특별시 강남구 역삼동 818-4,07041311234,https://escapelab.co.kr,Y,N,Y,N,20221104
이스케이프랩,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,818-4 번지,강남대로96길,18,37.49986833,127.0284685,6129,서울특별시 강남구 강남대로96길 18,서울특별시 강남구 역삼동 818-4,07041311234,https://escapelab.co.kr,N,N,N,N,20221104
비밀의화원 리버타운점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,818-5 번지,강남대로96길,20,37.49991027,127.0286383,6129,서울특별시 강남구 강남대로96길 20,서울특별시 강남구 역삼동 818-5 혜진빌딩,025087063,http://www.secretgardenescape.com/,Y,N,N,N,20221104
비밀의화원 리버타운점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,818-5 번지,강남대로96길,20,37.49991027,127.0286383,6129,서울특별시 강남구 강남대로96길 20,서울특별시 강남구 역삼동 818-5 혜진빌딩,025087063,http://www.secretgardenescape.com/,Y,N,N,N,20221104
마스터키 강남프라임점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,619-28 번지,강남대로98길,11,37.50088471,127.0274827,6129,서울특별시 강남구 강남대로98길 11,서울특별시 강남구 역삼동 619-28 메트로 빌딩,07041930021,http://www.master-key.co.kr/booking/bk_detail?bid=29,Y,N,Y,N,20221104
마스터키 강남프라임점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,619-28 번지,강남대로98길,11,37.50088471,127.0274827,6129,서울특별시 강남구 강남대로98길 11,서울특별시 강남구 역삼동 619-28 메트로 빌딩,07041930021,http://www.master-key.co.kr/booking/bk_detail?bid=29,N,N,N,N,20221104
라스트이스케이프,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817-36 번지,강남대로98길,20,37.50080399,127.0282293,6129,서울특별시 강남구 강남대로98길 20,서울특별시 강남구 역삼동 817-36,025673399,http://lastescape.co.kr/,Y,N,Y,N,20221104
라스트이스케이프,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817-36 번지,강남대로98길,20,37.50080399,127.0282293,6129,서울특별시 강남구 강남대로98길 20,서울특별시 강남구 역삼동 817-36,025673399,http://lastescape.co.kr/,N,N,N,N,20221104
황금열쇠 강남타임스퀘어점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,620-15 번지,강남대로98길,25,37.50108346,127.0286652,6129,서울특별시 강남구 강남대로98길 25,서울특별시 강남구 역삼동 620-15,0260812666,https://www.instagram.com/stbt_goldenkey_official/?hl=ko,Y,N,Y,N,20221104
황금열쇠 강남타임스퀘어점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,620-15 번지,강남대로98길,25,37.50108346,127.0286652,6129,서울특별시 강남구 강남대로98길 25,서울특별시 강남구 역삼동 620-15,0260812666,https://www.instagram.com/stbt_goldenkey_official/?hl=ko,N,N,N,N,20221104
에피소드방탈출 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817 번지,강남대로98길,8,37.50054316,127.0273906,6129,서울특별시 강남구 강남대로98길 8,서울특별시 강남구 역삼동 817,07086777919,,Y,N,Y,N,20221104
에피소드방탈출 강남점,레저/체육/공원,액티비티,방탈출,서울특별시,강남구,역삼동,,817 번지,강남대로98길,8,37.50054316,127.0273906,6129,서울특별시 강남구 강남대로98길 8,서울특별시 강남구 역삼동 817,07086777919,,N,N,N,N,20221104
양재천얼음썰매장,레저/체육/공원,대형레저시설,눈썰매,서울특별시,강남구,개포동,,175-4 번지,개포로,403,37.48657663,127.0590055,6323,서울특별시 강남구 개포로 403,서울특별시 강남구 개포동 175-4,0234236278,http://www.seoul.go.kr/story/skate,N,N,Y,N,20221104
양재천얼음썰매장,레저/체육/공원,대형레저시설,눈썰매,서울특별시,강남구,개포동,,175-4 번지,개포로,403,37.48657663,127.0590055,6323,서울특별시 강남구 개포로 403,서울특별시 강남구 개포동 175-4,0234236278,http://www.seoul.go.kr/story/skate,N,N,N,N,20221104
수도전기공업고등학교 테니스장,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,개포동,,155 번지,개포로,410,37.48493754,127.0644787,6324,서울특별시 강남구 개포로 410,서울특별시 강남구 개포동 155 수도전기공업고등학교,,https://cafe.naver.com/koreapark,N,N,Y,Y,20221104
수도전기공업고등학교 테니스장,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,개포동,,155 번지,개포로,410,37.48493754,127.0644787,6324,서울특별시 강남구 개포로 410,서울특별시 강남구 개포동 155 수도전기공업고등학교,,https://cafe.naver.com/koreapark,N,N,N,N,20221104
개포동근린공원 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,강남구,개포동,,183-1 번지,개포로,509,37.48970641,127.0682905,6328,서울특별시 강남구 개포로 509,서울특별시 강남구 개포동 183-1,,,N,Y,Y,Y,20221104
개포동근린공원 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,강남구,개포동,,183-1 번지,개포로,509,37.48970641,127.0682905,6328,서울특별시 강남구 개포로 509,서울특별시 강남구 개포동 183-1,,,N,N,N,N,20221104
우리탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,강남구,개포동,,185 번지,개포로,516,37.48914068,127.0708715,6330,서울특별시 강남구 개포로 516,서울특별시 강남구 개포동 185 개포주공아파트,0222260975,,Y,N,Y,N,20221104
우리탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,강남구,개포동,,185 번지,개포로,516,37.48914068,127.0708715,6330,서울특별시 강남구 개포로 516,서울특별시 강남구 개포동 185 개포주공아파트,0222260975,,N,N,Y,N,20221104
마루공원 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,강남구,일원동,,580 번지,개포로,625,37.49778119,127.0824762,6333,서울특별시 강남구 개포로 625,서울특별시 강남구 일원동 580,,,N,Y,Y,Y,20221104
마루공원 농구장,레저/체육/공원,지역체육시설,농구장,서울특별시,강남구,일원동,,580 번지,개포로,625,37.49778119,127.0824762,6333,서울특별시 강남구 개포로 625,서울특별시 강남구 일원동 580,,,N,N,N,N,20221104
더탑 클라이밍 대청점,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,일원동,,639 번지,개포로,656,37.4950473,127.0844774,6339,서울특별시 강남구 개포로 656,서울특별시 강남구 일원동 639 영빌딩,024598849,,Y,N,Y,N,20221104
더탑 클라이밍 대청점,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,일원동,,639 번지,개포로,656,37.4950473,127.0844774,6339,서울특별시 강남구 개포로 656,서울특별시 강남구 일원동 639 영빌딩,024598849,,N,N,N,N,20221104
대진공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,강남구,개포동,,13-1 번지,개포로109길,62,37.49605364,127.0788531,6334,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,,,N,Y,Y,Y,20221104
대진공원 배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,강남구,개포동,,13-1 번지,개포로109길,62,37.49605364,127.0788531,6334,서울특별시 강남구 개포로109길 62,서울특별시 강남구 개포동 13-1,,,N,N,N,N,20221104
강남탁구장,레저/체육/공원,지역체육시설,탁구장,서울특별시,강남구,개포동,,1245 번지,개포로15길,8,37.47900882,127.0454808,6303,서울특별시 강남구 개포로15길 8,서울특별시 강남구 개포동 1245,025297751,,Y,N,Y,N,20221104
강남탁구장,레저/체육/공원,지역체육시설,탁구장,서울특별시,강남구,개포동,,1245 번지,개포로15길,8,37.47900882,127.0454808,6303,서울특별시 강남구 개포로15길 8,서울특별시 강남구 개포동 1245,025297751,,Y,N,Y,N,20221104
A3베이스볼아카데미,레저/체육/공원,지역체육시설,야구연습장,서울특별시,강남구,개포동,,1232-3 번지,개포로20길,20,37.47755978,127.0476344,6307,서울특별시 강남구 개포로20길 20,서울특별시 강남구 개포동 1232-3,,http://cafe.daum.net/a3baseball/,Y,N,Y,Y,20221104
A3베이스볼아카데미,레저/체육/공원,지역체육시설,야구연습장,서울특별시,강남구,개포동,,1232-3 번지,개포로20길,20,37.47755978,127.0476344,6307,서울특별시 강남구 개포로20길 20,서울특별시 강남구 개포동 1232-3,,http://cafe.daum.net/a3baseball/,N,N,N,N,20221104
P스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,957-11 번지,남부순환로,2615,37.48518529,127.0358837,6267,서울특별시 강남구 남부순환로 2615,서울특별시 강남구 도곡동 957-11 극동스타클래스,025540753,,Y,N,Y,Y,20221104
P스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,957-11 번지,남부순환로,2615,37.48518529,127.0358837,6267,서울특별시 강남구 남부순환로 2615,서울특별시 강남구 도곡동 957-11 극동스타클래스,025540753,,N,N,N,N,20221104
매봉산실내배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,강남구,도곡동,,204 번지,남부순환로,2711,37.48613775,127.0424159,6274,서울특별시 강남구 남부순환로 2711,서울특별시 강남구 도곡동 204 도곡근린공원 실내배드민턴장,,,Y,N,Y,Y,20221104
매봉산실내배드민턴장,레저/체육/공원,지역체육시설,배드민턴장,서울특별시,강남구,도곡동,,204 번지,남부순환로,2711,37.48613775,127.0424159,6274,서울특별시 강남구 남부순환로 2711,서울특별시 강남구 도곡동 204 도곡근린공원 실내배드민턴장,,,N,N,N,N,20221104
숙명테니스장,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,도곡동,,91 번지,남부순환로,2807,37.49147536,127.0526126,6277,서울특별시 강남구 남부순환로 2807,서울특별시 강남구 도곡동 91 숙명여자고등학교,,,N,N,Y,Y,20221104
숙명테니스장,레저/체육/공원,지역체육시설,테니스장,서울특별시,강남구,도곡동,,91 번지,남부순환로,2807,37.49147536,127.0526126,6277,서울특별시 강남구 남부순환로 2807,서울특별시 강남구 도곡동 91 숙명여자고등학교,,,N,N,N,N,20221104
할렐루야탁구장,레저/체육/공원,지역체육시설,탁구장,서울특별시,강남구,대치동,,507-1 번지,남부순환로,2942,37.49364576,127.0623213,6291,서울특별시 강남구 남부순환로 2942,서울특별시 강남구 대치동 507-1 풍림프라자,025575374,,Y,N,Y,N,20221104
도곡SG스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,515-10 번지,남부순환로370길,33,37.48347389,127.0432271,6301,서울특별시 강남구 남부순환로370길 33,서울특별시 강남구 도곡동 515-10,025752703,http://sggolf.com/main,Y,N,Y,Y,20221104
도곡SG스크린골프,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,515-10 번지,남부순환로370길,33,37.48347389,127.0432271,6301,서울특별시 강남구 남부순환로370길 33,서울특별시 강남구 도곡동 515-10,025752703,http://sggolf.com/main,N,N,Y,N,20221104
훈골프아카데미,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,895-8 번지,논현로,205,37.48794787,127.0406182,6270,서울특별시 강남구 논현로 205,서울특별시 강남구 도곡동 895-8 도곡한신아파트,025719486,,Y,N,Y,Y,20221104
훈골프아카데미,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,895-8 번지,논현로,205,37.48794787,127.0406182,6270,서울특별시 강남구 논현로 205,서울특별시 강남구 도곡동 895-8 도곡한신아파트,025719486,,N,N,N,N,20221104
케이원골프아카데미,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,963 번지,논현로,213,37.49154881,127.0409542,6262,서울특별시 강남구 논현로 213,서울특별시 강남구 도곡동 963 역삼럭키아파트,025475307,,Y,N,Y,Y,20221104
케이원골프아카데미,레저/체육/공원,지역레저시설,스크린골프,서울특별시,강남구,도곡동,,963 번지,논현로,213,37.49154881,127.0409542,6262,서울특별시 강남구 논현로 213,서울특별시 강남구 도곡동 963 역삼럭키아파트,025475307,,N,N,N,N,20221104
더그라운드베이스볼,레저/체육/공원,지역체육시설,야구연습장,서울특별시,강남구,역삼동,,607-20 번지,논현로,543,37.50475748,127.0347475,6126,서울특별시 강남구 논현로 543,서울특별시 강남구 역삼동 607-20,0264304600,,Y,N,Y,Y,20221104
더그라운드베이스볼,레저/체육/공원,지역체육시설,야구연습장,서울특별시,강남구,역삼동,,607-20 번지,논현로,543,37.50475748,127.0347475,6126,서울특별시 강남구 논현로 543,서울특별시 강남구 역삼동 607-20,0264304600,,N,N,N,N,20221104
비블럭컴퍼니,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,역삼동,,606-33 번지,논현로,563,37.50632887,127.034024,6125,서울특별시 강남구 논현로 563,서울특별시 강남구 역삼동 606-33,0232809192,,Y,N,Y,N,20221104
비블럭컴퍼니,레저/체육/공원,지역체육시설,클라이밍,서울특별시,강남구,역삼동,,606-33 번지,논현로,563,37.50632887,127.034024,6125,서울특별시 강남구 논현로 563,서울특별시 강남구 역삼동 606-33,0232809192,,N,N,N,N,20221104
