FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,ROAD_NM,BULD_NO,LC_LA,LC_LO,ZIP_NO,RDNMADR_NM,LNM_ADDR,TEL_NO,HMPG_URL,WIFI_HOLD_AT,PET_POSBL_AT,PRKPLCE_EXST_AT,MEE_SLT_AT,LAST_UPDT_DE
공릉탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,공릉동,,362-1 번지,동일로,1106,37.62875418,127.0718062,1839,서울특별시 노원구 동일로 1106,서울특별시 노원구 공릉동 362-1,029717400,,N,N,N,N,20221104
파인힐스크린골프 노원구점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,739 번지,동일로,1114,37.62930076,127.0716027,1838,서울특별시 노원구 동일로 1114,서울특별시 노원구 공릉동 739 무궁화빌딩,029719633,,Y,N,Y,Y,20221104
파인힐스크린골프 노원구점,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,공릉동,,739 번지,동일로,1114,37.62930076,127.0716027,1838,서울특별시 노원구 동일로 1114,서울특별시 노원구 공릉동 739 무궁화빌딩,029719633,,N,N,Y,N,20221104
조규동탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,중계동,,503 번지,동일로,1279,37.64307028,127.0640115,1778,서울특별시 노원구 동일로 1279,"서울특별시 노원구 중계동 503 중계그린아파트 A,B 상가",029486911,,Y,N,Y,N,20221104
조규동탁구클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,중계동,,503 번지,동일로,1279,37.64307028,127.0640115,1778,서울특별시 노원구 동일로 1279,"서울특별시 노원구 중계동 503 중계그린아파트 A,B 상가",029486911,,N,N,N,N,20221104
엠브이짐 GDR골프아카데미,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,764-1 번지,동일로,1323,37.64680948,127.0626195,1767,서울특별시 노원구 동일로 1323,서울특별시 노원구 상계동 764-1 하라프라자센타,029370033,,Y,N,Y,Y,20221104
엠브이짐 GDR골프아카데미,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,764-1 번지,동일로,1323,37.64680948,127.0626195,1767,서울특별시 노원구 동일로 1323,서울특별시 노원구 상계동 764-1 하라프라자센타,029370033,,N,N,N,N,20221104
핑퐁라이온스클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,749-10 번지,동일로,1370,37.65091287,127.0618458,1756,서울특별시 노원구 동일로 1370,서울특별시 노원구 상계동 749-10 현대프라자빌딩,029317070,,Y,N,Y,N,20221104
핑퐁라이온스클럽,레저/체육/공원,지역체육시설,탁구장,서울특별시,노원구,상계동,,749-10 번지,동일로,1370,37.65091287,127.0618458,1756,서울특별시 노원구 동일로 1370,서울특별시 노원구 상계동 749-10 현대프라자빌딩,029317070,,N,N,N,N,20221104
K스크린,레저/체육/공원,지역레저시설,스크린골프,서울특별시,노원구,상계동,,749 번지,동일로,1374,37.65130926,127.0617569,1756,서울특별시 노원구 동일로 1374,서울특별시 노원구 상계동 749 미산빌딩,029517800,,Y,N,Y,Y,20221104
