COURSE_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,NMPR_CO,EDC_CT,BASE_TIME,TIME_PER_CT,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,ADDR,COURSE_EDC_CRSE_CN,LAST_UPDT_DE
"영문법, 독해 빌드업",여가활동,클래스,1:1 영어,1,480000,12,40000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,영어 구문 이해누구나 이해하기 쉬운 문법자연스러운 독해 방법영어 단어 쉽게 외우기 수강생 실력과 요구사항에 따라 변동될 수 있습니다.,20221130
"영어 스피킹, 나도 이제 독립하자",여가활동,클래스,1:1 영어,1,220000,8,27500,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"이런 분들께 추천합니다:1 수능 영어, 내신 영어, 자격증 영어를 위해 암기식으로 꾸역꾸역 해 왔으나, 교환학생이나 유학 등으로 ‘실전영어’가 당장 필요한 사람. 토플 스피킹 점수가 필요한 사람.2 시중 학원들은 다녀보았으나 그들의 레파토리 이상으로 영어실력을 어떻게 키울 수 있을지 감이 안 잡히는 사람. 자기계발을 위해서 회화능력을 향상시키고 싶은 사람.",20221130
영어 회화 캐나다 경영.법대생이 알려주는 정말 필요한 일상.비즈니스 회화,여가활동,클래스,1:1 영어,1,600000,12,50000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,- 영어 회화 원하는 모든 연령의 학생 들!- 해외 여행/관광/유학/이민/주재월 준비중이신 모든 연령의 분들!- 외국 client 대응이나 비즈니스 회화 원하시는 분들 적극 환영합니다!,20221130
영어 회화 특화 강의 현지인이 쓰는 실전영어를 쉽게 전수해드립니다~!,여가활동,클래스,1:1 영어,1,110000,2,55000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"외국인 앞에서 기죽지 않고 말하고 싶은 분- 다른 한국인보다 더 멋있게 말하고 싶은 분- 프레젠테이션, 스피치를 더 자연스럽고 당당하게 하고 싶은분",20221130
"영어는 영어답게, 차근차근 원어민처럼 영어 스피킹",여가활동,클래스,1:1 영어,1,200000,4,50000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"(목표)1. 프리토킹의 데이터 늘리기 - 아는 문장이 있어야 입 밖으로 나온다.2. 발음 교정 - 원 발음과 다른 미묘한 발음의 포인트 잡아드립니다.3. 제약 없이 마음껏, 본토발음으로 영어로 말하기! 주제가 무엇이던지(차별점)쉬운 회화 수업에 질리신 분들 컴온. 암기량도 학습하는 텍스트도 레벨 업! 학습자에 따라 레벨 조정",20221130
"외국계 취업 면접,성공 할수 있어요. 맞춤형 집중 수업",여가활동,클래스,1:1 영어,1,296000,8,37000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"외국계 기업으로 취업및 이직 원하시는 분들에게, 가장 최.적.화.된 수업입니다.지원하는 외국기업 직책에, 자신의 현재 직무경험과 역량을 최대한 appeal 할 수있도록, cover letter 와 이력서를 같이 작성해 드리구요.영어 인터뷰에서의 상황별 질문들에 대한, 최적의 영문답변 Script를 준비하고, 실전 모의인터뷰를 자신있을때까지 연습합니다!",20221130
"원데이 ""내 머릿속"" 에 특화된 영어 공부 타입 진단테스트 받기! 구글독 / 카카오톡 피드백 제공",여가활동,클래스,1:1 영어,1,44000,2,22000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"이런 분들에게 추천 드려요! - 난 영어를 못하는 건 아닌것 같은데, 잘하는 것도 확실히 아니다- 영어를 공부하고 싶은 열정은 있지만,효과도 없을 것 같은 영어 인강, 학원에 거금을 지불하고 싶지 않다- 영어를 공부하고 싶은 열정은 있지만, 바쁜 일상 패턴을 뒤엎을 정도로 시간을 투자하긴 싫다- 작심삼일이 될 것 같은 공부법이면 시작도 하기 싫다- 조금만 더 영어 실력이 유창해지면, 이룰 수 있는 버킷리스트가 있다교환학생, 국제 업무 담당, 외국계 취업, 자유여행, 유튜브 채널 등 이런 분들에겐 비추예요 - 난 뭔가를 열정적으로 좋아해본 적이 없다자신있게 ""난 여기 푹 빠져 있어!"" 라고 말할 수 있는게 단 하나도 없다!- 영어를 굳이 배워서 뭐 하나? 라는 생각이 들고,자격증이나 점수만 나오면 때려쳐야지 라는 생각을 자주한다",20221130
"원데이 7년차 영어강사 로건의 ""진짜"" 영어회화 공부법",여가활동,클래스,1:1 영어,1,14300,2,7150,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"- 현직 야나× 영어 강사- 초등학교~고등학교2학년까지 미국 시카고 거주- 방송사 통역 및 외국인 관광 통역 활동- 초등학생~대학생 대상 영어과외강사 생활 5년차- 스터디 강사, 누적 학생 200명 돌파!- 여러분의 영어울렁증 해결사!- 영어 발음 끝판왕!안녕하세요! 영어회화 튜터 로건입니다오랜 이민 생활을 마치고 돌아온 제가 가장 많이 들은 말은""초등학교부터 고등학교까지, 영어를 12년을 배웠는데 한 마디도 못 하겠어ㅠㅠ""였습니다!그런 친구들을 위해 조금씩 조언해주다 보니 어느덧저는 지금 영어를 가르치고 있네요.한국의 암기식 영어가 아닌, 시험을 위한 영어가 아닌,내 생각을 나누는 의사소통을 위한 ""진짜"" 영어를 ""재밌게"" 가르쳐드립니다!모든 것은 제가 준비해 드립니다!하지만 그 안에서 헤엄치는 것은 여러분들이 였으면 합니다!그리고 걱정하지마세요~ 제가 있는한 여러분은 안전합니다 :3한국에서 배우는 단순 암기식, 시험을 위한 영어교육에 지치셨다면,이제 저 로건과 함께 즐겁게, 재밌게 영어공부해요!스터디 관련 문의는 자유롭게 해주시면 친절히 답변해 드리겠습니다!",20221130
원데이1:1버클리/서울대출신 영어면접 제대로 준비하자!,여가활동,클래스,1:1 영어,1,143000,2,71500,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,이런분들께 1:1 원데이 영어면접클래스를 추천드려요- 영어면접을 앞두신 분- 이직을 희망하시는 직장인- 영어 면접을 준비해야하는 학생- 승무원 및 외국계 회사 취업을 원하시는분- 영어스피치를 완벽하게 하고싶으신분- 자기소개를 영어로 완벽하게 익혀놓고 싶으신분,20221130
"탑배우, 아이돌 영어쌤의 맞춤형 REAL 영어회화",여가활동,클래스,1:1 영어,1,352000,4,88000,서울특별시,강남구,삼성2동,서울특별시 강남구 삼성2동,"사람이 다 다른데, 어떻게 다 똑같이 공부해요?이제는 진짜 영어를 해야하는 여러분께 필요한 건요즘 핫한 학습법이 아닌 내게 꼭? 맞는 학습법!아이돌, 배우, CEO들이 몰래 찾아듣는 다솜쌤의 1:1 프리미엄 맞춤 영어회화 CLASS!탈잉 LIVE 다회차 클래스로, 오프라인 원데이 클래스로 만나보세요?",20221130
