NAME,TYPE,LOCATION,TAG,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,LAT,LON
파인어스PT,헬스/휘트니스,서울특별시 서초구 양재동 양재천로29길,스트레스 해소; 감정 자극,,,,,,,,,,,,
피트인피트니스,헬스/휘트니스,서울특별시 강남구 신사동 논현로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5300306,127.0253176
점프업,N,서울특별시 마포구 성산동 성산로,,,,,,,,,,,,37.5621397,126.9005392
청담짐,헬스/휘트니스,서울특별시 강남구 청담동 도산대로81길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5268569,127.0467862
군인공제회관헬스장,헬스/휘트니스,서울특별시 강남구 도곡동 남부순환로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4852848,127.0389229
여성전용헬스장PT,헬스/휘트니스,서울특별시 마포구 염리동 백범로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5465486,126.9455893
스카이방방,N,서울특별시 성북구 석관동 돌곶이로,,,,,,,,,,,,37.6097738,127.0587788
로아짐,헬스/휘트니스,서울특별시 성북구 하월곡동 월곡로,스트레스 해소; 감정 자극,,,,,,,,,,,37.600889,127.0408587
본투윈스포츠,헬스/휘트니스,서울특별시 강남구 신사동 도산대로25길,스트레스 해소; 감정 자극,,,,,,,,,,,37.5213326,127.026831
키워GYM,헬스/휘트니스,서울특별시 송파구 잠실동 백제고분로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5142763,127.077649
오늘하루운동,헬스/휘트니스,서울특별시 서초구 양재동 강남대로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4716569,127.0385394
피트니스킹덤,헬스/휘트니스,서울특별시 동작구 대방동 상도로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4997641,126.9261627
KBS스포츠월드검도교실,N,서울특별시 강서구 화곡동 공항대로,,,,,,,,,,,,,
삼봉당구장,당구장,서울특별시 종로구 수송동 삼봉로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5723031,126.9808398
신성골프아카데미,실내골프/스크린골프,서울특별시 구로구 고척동 중앙로14길,에너지 회복; 스트레스 해소,,,,,,,,,,,,
폴인핏,헬스/휘트니스,서울특별시 관악구 봉천동 은천로,스트레스 해소; 감정 자극,,,,,,,,,,,37.4868556,126.9477498
미미피티,헬스/휘트니스,서울특별시 강동구 길동 진황도로,스트레스 해소; 감정 자극,,,,,,,,,,,37.5344914,127.1398536
